Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20230525,1,Ndata,1360.4,1360.3,1360.3,1360.3,1360.4
FN,20230525,1,Ndata,1353,1352.7,1352.7,1352.9,1352.7
FA,20230525,1,Ndata,1360.8,1360.9,1360.9,1360.7,1360.8
FN,20230525,1,Sample,1449.5,1449.4,1449.3,1449.3,1449.4
FA,20230526,2,Ndata,1360.8,1360.9,1360.9,1360.7,1360.8
FN,20230526,2,Ndata,1352.3,1352.4,1352.3,1352.3,1352.4
FA,20230526,2,Ndata,1360.6,1360.6,1360.7,1360.6,1360.7
FN,20230526,2,Sample,1417.8,1417.7,1417.7,1417.7,1417.7
FA,20230529,3,Ndata,1360.6,1360.6,1360.7,1360.6,1360.7
FN,20230529,3,Ndata,1352.1,1352.1,1352.2,1352.2,1352.1
FA,20230529,3,Ndata,1360.6,1360.5,1360.5,1360.6,1360.7
FN,20230529,3,Sample,1412.9,1412.8,1412.9,1412.9,1412.8
FA,20230531,4,Ndata,1360.6,1360.5,1360.5,1360.6,1360.7
FN,20230531,4,Ndata,1352.8,1352.9,1352.9,1352.8,1352.7
FA,20230531,4,Ndata,1360.8,1360.7,1360.8,1360.7,1360.7
FN,20230531,4,Sample,1410.6,1410.7,1410.7,1410.6,1410.7
FA,20230601,5,Ndata,1360.8,1360.7,1360.8,1360.7,1360.7
FN,20230601,5,Ndata,1355,1355,1354.9,1354.9,1355.1
FA,20230601,5,Ndata,1360.6,1360.6,1360.5,1360.5,1360.6
FN,20230601,5,Sample,1408.6,1408.7,1408.7,1408.6,1408.6
FA,20230602,6,Ndata,1360.6,1360.6,1360.5,1360.5,1360.6
FN,20230602,6,Ndata,1354.3,1354.3,1354.3,1354.2,1354.2
FA,20230602,6,Ndata,1360.8,1360.8,1360.7,1360.8,1360.6
FN,20230602,6,Sample,1439.4,1439.1,1439.3,1439.3,1439.3
FA,20230605,7,Ndata,1360.8,1360.8,1360.7,1360.8,1360.6
FN,20230605,7,Ndata,1354.8,1354.9,1354.9,1354.8,1355
FA,20230605,7,Ndata,1360.6,1360.4,1360.5,1360.5,1360.4
FN,20230605,7,Sample,1403.2,1403.2,1403.5,1403.3,1403.4
